
Bulbasaur Diamond           For some time after its birth, it grows by taking nourishment from the seed on its back.

Bulbasaur Pearl         For some time after its birth, it grows by taking nourishment from the seed on its back.

Ivysaur Diamond           When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower's coming bloom.

Ivysaur Pearl         When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower's coming bloom.

Charmander Diamond           The fire on the tip of its tail is a measure of its life. If the Pokémon is healthy, its tail burns intensely.

Charmander Pearl         The fire on the tip of its tail is a measure of its life. If the Pokémon is healthy, its tail burns intensely.

Charizard Diamond           It is said that Charizard's fire burns hotter if it has experienced harsh battles.

Charizard Pearl         It is said that Charizard's fire burns hotter if it has experienced harsh battles.

Squirtle Diamond           It hides in its shell to protect itself, then strikes back with spouts of water at every opportunity.

Squirtle Pearl         It hides in its shell to protect itself, then strikes back with spouts of water at every opportunity.

Caterpie Diamond           It releases a stench from its red antennae to repel enemies. It grows by molting repeatedly.

Caterpie Pearl         It releases a stench from its red antennae to repel enemies. It grows by molting repeatedly.

Metapod Diamond           A steel-hard shell protects its tender body. The Pokémon quietly endures hardships while awaiting evolution.

Metapod Pearl         A steel-hard shell protects its tender body. The Pokémon quietly endures hardships while awaiting evolution.

Butterfree Diamond           It loves the nectar of flowers and can locate flower patches that have even tiny amounts of pollen.

Butterfree Pearl         It loves the nectar of flowers and can locate flower patches that have even tiny amounts of pollen.

Rattata Diamond           It's cautious in the extreme, and its hardy vitality lets it live in any kind of environment.

Rattata Pearl         It's cautious in the extreme, and its hardy vitality lets it live in any kind of environment.

Raticate Diamond           It whittles down its constantly growing fangs by gnawing on hard things. It can chew apart cinder block walls.

Raticate Pearl         It whittles down its constantly growing fangs by gnawing on hard things. It can chew apart cinder block walls.

Fearow Diamond           It has the stamina to fly all day on its broad wings. It fights by using its sharp beak.

Fearow Pearl         It has the stamina to fly all day on its broad wings. It fights by using its sharp beak.

Arbok Diamond           The pattern on its belly is for intimidation. It constricts foes while they are frozen in fear.

